name,gra,bmf,delta,rel_pct,w,h,pixels,ncomp,gra_bpp,bmf_bpp,delta_bpp,h0_bpp,med_bpp,bmf_over_med,gra_over_med,ct_bpp,ct_keep,ct_ks,ct_refs,eq_w,eq_n,run_mean,dup_rows,nrows,distinct_px,distinct_per_px,top8,corr_bg,corr_gr,corr_br,period_lag,period_corr,planes_free,choice,choice_est,body,est_err_pct,transposed,models,desc
fujifilm_finepix_x100_02,9192701,9435424,242723,2.64,4310,2870,12369700,3,5.9453,6.1023,0.157,21.2161,9.3516,0.6525,0.6357,7.3757,G,,,0.0732,0.05878,1.08,0,2869,362386,0.0293,0.732,0.987,0.945,0.905,2,0.02213,24,together,9669486.3,9435404,-2.421,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=200 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=184  w=(116,2)"
fujifilm_finepix_x100_03,7382712,7401244,18532,0.251,2870,4310,12369700,3,4.7747,4.7867,0.012,19.7544,8.271,0.5787,0.5773,6.5988,G,,,0.13984,0.15324,1.16,0,4309,207607,0.0168,9.441,0.999,0.998,0.995,2,0.06441,24,together,7409042.3,7401224,-0.106,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=200 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=198  w=(110,6)"
fujifilm_finepix_x100_04,8720634,9049856,329222,3.775,2870,4310,12369700,3,5.64,5.8529,0.2129,17.5084,8.3582,0.7003,0.6748,7.0454,G,,,0.09016,0.09017,1.1,0,4309,214431,0.0173,10.791,0.975,0.989,0.939,2,0.04056,24,together,9253794.3,9049836,-2.204,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=173 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=190  w=(120,-4)"
fujifilm_finepix_x100_05,10306877,10656868,349991,3.396,2870,4310,12369700,3,6.6659,6.8922,0.2264,20.4587,9.677,0.7122,0.6888,8.1208,G,,,0.05096,0.05088,1.05,0,4309,519870,0.042,2.471,0.974,0.975,0.923,2,0.02591,24,together,10869214.3,10656848,-1.954,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=162 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=129  w=(122,-5)"
fujifilm_finepix_x100_06,7929387,8111276,181889,2.294,2870,4310,12369700,3,5.1283,5.2459,0.1176,21.2655,8.3277,0.6299,0.6158,6.6162,G,,,0.10354,0.10874,1.12,0,4309,197474,0.016,1.583,0.988,0.94,0.904,2,0.04111,24,together,8116226.3,8111256,-0.061,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=202 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=193  w=(100,15)"
fujifilm_finepix_x100_10,7459700,7698472,238772,3.201,4310,2870,12369700,3,4.8245,4.9789,0.1544,20.3161,7.2107,0.6905,0.6691,6.1164,G,,,0.12499,0.12114,1.14,0,2869,493605,0.0399,3.85,0.934,0.928,0.772,2,0.06176,24,together,7994202.3,7698452,-3.7,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=96 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=223  w=(87,4)"
fujifilm_finepix_x100_11,8779074,9110432,331358,3.774,4310,2870,12369700,3,5.6778,5.8921,0.2143,21.5404,8.3457,0.706,0.6803,7.0028,G,,,0.0722,0.07082,1.08,0,2869,672083,0.0543,2.091,0.961,0.93,0.862,2,0.03183,24,together,9323874.3,9110412,-2.289,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=114 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=225  w=(98,0)"
fujifilm_finepix_x100_12,8975089,9321728,346639,3.862,4310,2870,12369700,3,5.8046,6.0287,0.2242,21.3274,8.8192,0.6836,0.6582,7.0143,G,,,0.06594,0.05087,1.07,0,2869,148702,0.012,1.269,0.993,0.992,0.974,2,0.02083,24,together,9327538.3,9321708,-0.063,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=226 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=248  w=(102,6)"
fujifilm_finepix_x100_13,9840741,9970420,129679,1.318,2870,4310,12369700,3,6.3644,6.4483,0.0839,20.2409,9.1602,0.7039,0.6948,7.7605,G,,,0.04982,0.04666,1.05,0,4309,419608,0.0339,1.297,0.981,0.952,0.897,2,0.02131,24,together,10394698.3,9970400,-4.082,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=103 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=183  w=(120,-8)"
fujifilm_finepix_x100_14,9020210,9066740,46530,0.516,4310,2870,12369700,3,5.8337,5.8638,0.0301,20.5463,8.3636,0.7011,0.6975,7.0469,G,,,0.08599,0.06826,1.09,0,2869,526132,0.0425,2.442,0.849,0.979,0.792,2,0.04482,24,together,9325078.3,9066720,-2.771,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=59 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=206  w=(107,3)"
fujifilm_finepix_x100_15,10753104,11033056,279952,2.603,4310,2870,12369700,3,6.9545,7.1355,0.1811,18.6458,9.7028,0.7354,0.7167,8.6958,G,,,0.04951,0.04907,1.05,0,2869,671874,0.0543,3.311,0.972,0.924,0.874,2,0.03025,24,together,11320158.3,11033036,-2.536,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=132 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=201  w=(94,-2)"
olympus_xz1_01,7964165,8255060,290895,3.653,2760,3680,10156800,3,6.273,6.5021,0.2291,19.3349,8.7531,0.7428,0.7167,7.4454,G,,,0.04399,0.04345,1.05,0,3679,350215,0.0345,1.825,0.985,0.946,0.898,2,0.01575,24,together,8398618.3,8255040,-1.71,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=184 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=246  w=(96,-2)"
